Symbol,Name,Market Cap,P/E ttm,EPS ttm,Net Income(a),Beta,Dividend(a),Div Yield
MS,Morgan Stanley,1.25721E+11,11.74,5.82,9042000000,1.59,1.4,2.05%
MSCI,MSCI Inc,35758408000,58.04,7.54,563650000,0.91,3.12,0.71%
MSFT,Microsoft Corp,1.64743E+12,35.17,6.19,44281000000,0.83,2.24,1.03%
MSI,Motorola Solutions,28244228000,23.26,7.2,868000000,0.74,2.84,1.70%
MTB,M&T Bank Corp,16484366000,12.58,10.08,1929150000,1.23,4.4,3.47%
MTD,Mettler-Toledo International,27991248000,48.19,24.09,561110000,1.04,0,0.00%
MU,Micron Technology,86292400000,28.93,2.56,2687000000,1.37,0,0.00%
MXIM,Maxim Integrated,23877998000,35.43,2.47,654690000,1.27,1.92,2.19%
NCLH,Norwegian Cruise Ord,6681416000,0,-5.39,930230000,2.87,0,0.00%
NDAQ,Nasdaq Inc,21648096000,22.53,5.86,774000000,0.77,1.96,1.48%
NEE,Nextera Energy,1.4648E+11,32.66,2.28,3769000000,0.16,1.4,1.89%
NEM,Newmont Mining Corp,50957124000,30.36,2.08,2805000000,0.14,1.6,2.53%
NFLX,Netflix Inc,2.30087E+11,84.33,6.2,1866920000,0.92,0,0.00%
NI,NiSource Inc,8629934000,15.79,1.43,383100000,0.24,0.84,3.72%
NKE,Nike Inc,2.21707E+11,70.05,2,2539000000,0.83,1.1,0.79%
NLOK,Nortonlifelock Inc,12411514000,19.78,1.05,3887000000,0.79,0.5,2.41%
NLSN,Nielsen Holdings Plc,7347040000,14.35,1.41,-415000000,1.39,0.24,1.19%
NOC,Northrop Grumman Corp,49446300000,13.01,22.66,2248000000,0.75,5.8,1.97%
NOV,Nov Inc,5691950000,73.11,0.19,-6095000000,2.22,0,0.00%
NOW,Servicenow Inc,1.03787E+11,435.4,1.21,626700000,1.14,0,0.00%
NRG,NRG Energy,8989775000,10.74,3.38,4438000000,1,1.2,3.31%
NSC,Norfolk Southern Corp,64656672000,25.46,9.17,2722000000,1.38,3.76,1.61%
NTAP,Netapp Inc,14558000000,18.75,3.46,819000000,1.35,1.92,2.96%
NTRS,Northern Trust Corp,19107588000,15.34,6.03,1492200000,1.12,2.8,3.03%
NUE,Nucor Corp,16325300000,21,2.5,1271140000,1.33,1.62,3.09%
NVDA,Nvidia Corp,3.31902E+11,73.88,7.1,2796000000,1.45,0.64,0.12%
NVR,NVR Inc,14914749000,18.62,216.98,878540000,1,0,0.00%
NWL,Newell Rubbermaid Inc,9275198000,13.16,1.65,106600000,1.06,0.92,4.24%
NWS,News Cp Cl B,10665965000,69.08,0.26,-1269000000,1.68,0.2,1.11%
NWSA,News Cp Cl A,10795895000,69.85,0.26,-1269000000,1.61,0.2,1.10%
O,Realty Income Corp,21115558000,17.55,1.21,436480000,0.64,2.81,4.70%
ODFL,Old Dominion Freight Line Inc,22498220000,36.18,5.27,615520000,1,0.6,0.31%
OKE,Oneok Inc,17500356000,14.31,2.62,1278580000,1.99,3.74,9.97%
OMC,Omnicom Group Inc,13302530000,11.69,5.21,1339100000,0.87,2.6,4.27%
ORCL,Oracle Corp,1.85356E+11,17.05,3.74,10135000000,0.76,0.96,1.51%
ORLY,O'Reilly Automotive,32694330000,20.28,22.39,1391040000,0.98,0,0.00%
OTIS,Otis Worldwide Corp [Otis/I],28200996000,0,1.85,1116000000,N/A,0.8,1.22%
OXY,Occidental Petroleum Corp,17888524000,0,-3.42,-667000000,2.35,0.04,0.23%
PAYC,Paycom Software Inc,24978030000,159.6,2.68,180580000,1.49,0,0.00%
PAYX,Paychex Inc,32464002000,30.73,2.94,1098100000,0.9,2.48,2.74%
PBCT,People's United Finl,5472287000,10.05,1.28,520400000,1.26,0.72,5.59%
PCAR,Paccar Inc,29603298000,20.66,4.1,2387900000,1,1.28,1.51%
PEAK,Healthpeak Properties Inc,15660922000,17.09,0.6,45530000,0.72,1.48,5.12%
PEG,Public Service Enterprise Group Inc,28195968000,16.3,3.42,1693000000,0.49,1.96,3.52%
PEP,Pepsico Inc,1.99969E+11,26.23,5.5,7314000000,0.57,4.09,2.83%
PFE,Pfizer Inc,2.06717E+11,12.92,2.85,16273000000,0.7,1.52,4.13%
PFG,Principal Financial Group Inc,13409474000,9.92,4.87,1394200000,1.64,2.24,4.64%
PG,Procter & Gamble Company,3.43921E+11,25.62,5.38,13027000000,0.38,3.16,2.29%
PGR,Progressive Corp,56773724000,13.07,7.43,3970300000,0.45,0.4,0.41%
PH,Parker-Hannifin Corp,35036176000,24.01,11.08,1206340000,1.74,3.52,1.32%
PHM,Pultegroup,11010620000,9.66,4.37,1016700000,1.4,0.56,1.33%
PKG,Packaging Corp of America,13006071000,22.04,6.16,696400000,1.07,4,2.95%
PKI,Perkinelmer,17008848000,25.62,5.68,227560000,1.19,0.28,0.19%
PLD,Prologis Inc,71105864000,26.1,2.25,1572960000,0.8,2.32,2.42%
PM,Philip Morris International Inc,1.28307E+11,15.86,5.14,7185000000,0.77,4.8,5.89%
PNC,PNC Bank,62860280000,23.27,6.41,5369000000,1.38,4.6,3.08%
PNR,Pentair Ltd,8600088000,20.69,2.49,355700000,1.19,0.76,1.47%
PNW,Pinnacle West Capital Corp,8752165000,14.07,5.62,538320000,0.25,3.32,4.20%
POOL,Pool Corp,14331542000,46.17,7.73,261580000,0.72,2.32,0.65%
PPG,PPG Industries,34093684000,26.07,5.42,1243000000,1.11,2.16,1.53%
PPL,PPL Corp,21227316000,11.64,2.37,1746000000,0.72,1.66,6.02%
PRGO,Perrigo Company,6042456000,10.73,4.16,146100000,1.18,0.9,2.02%
PRU,Prudential Financial Inc,30547440000,7.87,9.71,4186000000,1.72,4.4,5.76%
PSA,Public Storage,38001056000,20.95,6.83,1520530000,0.07,8,3.63%
PSX,Phillips 66,31340400000,38.61,1.81,3076000000,1.67,3.6,5.15%
PVH,Phillips-Van Heusen Corp,6869681000,321.67,0.3,417300000,2.33,0,0.00%
PWR,Quanta Services,9660559000,21.46,3.18,402040000,1.24,0.24,0.35%
PXD,Pioneer Natural Resources Company,19950788000,33.77,3.36,756000000,1.92,2.2,1.94%
PYPL,Paypal Holdings,2.75242E+11,86.86,2.67,2459000000,1.12,0,0.00%
QCOM,Qualcomm Inc,1.72398E+11,44.46,3.34,5198000000,1.34,2.6,1.75%
QRVO,Qorvo Inc,19303640000,24.57,6.7,334330000,1.51,0,0.00%
RCL,Royal Caribbean Cruises Ltd,16275722000,0,-11.81,1878890000,2.86,0,0.00%
RE,Everest Re Group,9041506000,19.46,11.72,1009460000,0.58,6.2,2.72%
REG,Regency Centers Corp,7516824000,13.5,0.36,239430000,1.03,2.38,5.38%
REGN,Regeneron Pharmaceuticals,51587020000,18.28,26.42,2115800000,0.3,0,0.00%
RF,Regions Financial Corp,15607215000,19.69,0.81,1582000000,1.58,0.62,3.89%
RHI,Robert Half International Inc,7075879000,21.46,2.85,454430000,1.65,1.36,2.22%
RJF,Raymond James Financial,12926381000,15.41,6.1,818000000,1.35,1.48,1.57%
RL,Ralph Lauren Corp,7602815000,56.29,1.8,384300000,1.45,0,0.00%
RMD,Resmed Inc,31100208000,41.6,5.1,621670000,0.28,1.56,0.74%
ROK,Rockwell Automation Inc,28702368000,32.09,7.68,1023400000,1.37,4.28,1.74%
ROL,Rollins Inc,19109424000,73.54,0.52,203350000,0.42,0.21,0.56%
ROP,Roper Industries,43960244000,33.43,12.55,1767900000,1.03,2.05,0.49%
ROST,Ross Stores Inc,41766768000,62.27,1.88,1660930000,0.95,0,0.00%
RSG,Republic Services,29845410000,26.8,3.49,1073300000,0.64,1.7,1.82%
RTX,Raytheon Technologies Corp,1.05429E+11,14.56,4.7,5537000000,1.39,1.9,2.78%
SBAC,SBA Communications,30287722000,30.19,-0.15,146990000,0.21,1.86,0.67%
SBUX,Starbucks Corp,1.20921E+11,88.88,1.16,928300000,0.82,1.8,1.75%
SCHW,The Charles Schwab Corp,99023216000,23.14,2.28,3704000000,1.17,0.72,1.36%
SEE,Sealed Air Corp,7098249000,14.56,3.09,263000000,1.22,0.64,1.42%
SHW,Sherwin-Williams Company,65381276000,30.47,23.74,1541300000,1.01,5.36,0.74%
SIVB,Svb Financial Group,20001930000,18.89,20.5,1136860000,2.14,0,0.00%
SJM,J.M. Smucker Company,13363712000,11.95,9.68,779500000,0.26,3.6,3.11%
SLB,Schlumberger N.V.,32197652000,25.82,0.85,-10137000000,2.28,0.5,2.28%
SLG,SL Green Realty Corp,4098753000,7.87,2.62,281350000,1.73,3.64,6.35%
SNA,Snap-On Inc,9038725000,15.36,10.87,693500000,1.29,4.92,2.95%
SNPS,Synopsys Inc,39618716000,59.79,4.26,664350000,1.1,0,0.00%
SO,Southern Company,63103824000,19.46,3.05,4754000000,0.39,2.56,4.31%
SPG,Simon Property Group,25449188000,8.36,4.4,2101580000,1.51,5.2,6.28%
SPGI,S&P Global Inc,79025072000,28.95,11.51,2123000000,1,2.68,0.80%
SRE,Sempra Energy,35600084000,16.31,7.59,2198000000,0.6,4.18,3.38%
STE,Steris Corp,16366849000,32.06,5.88,407610000,0.59,1.6,0.85%
STT,State Street Corp,25641360000,10.35,6.98,2242000000,1.6,2.08,2.88%
STX,Seagate Tech Ord Shs,15457030000,13.38,4.49,1004000000,1.22,2.68,4.46%
STZ,Constellation Brands Inc,42033284000,23.41,9.26,-11800000,1.75,3,1.38%
SWK,Stanley Black & Decker Inc,27258740000,21.52,7.87,955800000,1.47,2.8,1.65%
SWKS,Skyworks Solutions,25958618000,28.65,5.26,814800000,1.21,2,1.33%
SYF,Synchrony Financial,20298448000,13.88,2.46,3747000000,1.79,0.88,2.58%
SYK,Stryker Corp,90062072000,33.62,7.11,2083000000,0.87,2.52,1.05%
SYY,Sysco Corp,37066052000,53.56,1.35,215480000,1.38,1.8,2.49%
T,AT&T Inc,2.08507E+11,8.87,3.32,13903000000,0.7,2.08,7.07%
TAP,Molson Coors Brewing Company,19076030000,10.06,4.54,241700000,1.14,0,0.00%
TDG,Transdigm Group Inc,32619140000,43.31,13.57,699000000,1.59,0,0.00%
TDY,Teledyne Technologies Inc,13848818000,35.92,10.09,402300000,1.08,0,0.00%
TEL,Te Connectivity Ltd,40552400000,28.31,4.25,-241000000,1.41,1.92,1.60%
TER,Teradyne Inc,20174142000,27.15,4.39,467470000,1.35,0.4,0.34%
TFC,Truist Financial Corp,64035604000,12.48,3.78,3224000000,1.36,1.8,3.82%
TFX,Teleflex Inc,18646824000,37.68,10.7,461470000,1.14,1.36,0.34%
TGT,Target Corp,90324432000,21.02,8.45,3281000000,0.97,2.72,1.53%
TIF,Tiffany & Company,15957048000,48.68,2.7,541100000,0.74,2.32,1.77%
TJX,TJX Companies,80106096000,111.35,0.6,3272190000,0.93,0,0.00%
TMO,Thermo Fisher Scientific Inc,1.89337E+11,29.47,16.01,3696000000,0.85,0.88,0.19%
TMUS,T-Mobile US,1.63651E+11,34.13,3.88,3468000000,0.55,0,0.00%
TPR,Tapestry Inc,9021211000,28.2,1.16,-652100000,1.33,0,0.00%
TROW,T Rowe Price Group,33758892000,16.9,8.74,2131300000,1.15,3.6,2.44%
TRV,The Travelers Companies Inc,34077660000,15.31,8.86,2622000000,0.77,3.4,2.51%
TSCO,Tractor Supply Company,16389964000,21.69,6.44,562350000,0.96,1.6,1.15%
TSLA,Tesla Inc,6.96812E+11,1465.4,0.5,-862000000,2.18,0,0.00%
TSN,Tyson Foods,23104428000,11.26,5.64,2140000000,0.76,1.78,2.80%
TT,Trane Technologies Plc,35022232000,29.87,4.82,1410900000,0.95,2.12,1.47%
TTWO,Take-Two Interacti,23549604000,32.35,6.24,404460000,0.62,0,0.00%
TWTR,Twitter Inc,42853460000,0,-1.31,1465660000,0.86,0,0.00%
TXN,Texas Instruments,1.50001E+11,30.67,5.29,5017000000,1.06,4.08,2.52%
TXT,Textron Inc,10763991000,21.88,2.12,815000000,1.77,0.08,0.17%
TYL,Tyler Technologies,17430938000,101.79,4.24,146530000,0.67,0,0.00%
UA,Under Armour Inc Cl C,7024621000,0,-0.29,92140000,1.32,0,0.00%
UAA,Under Armour,8115824000,0,-0.29,92140000,1.13,0,0.00%
UAL,United Airlines Holdings Inc,12701531000,0,-17.37,3009000000,1.63,0,0.00%
UDR,United Dominion Realty Trust,10833992000,17.72,0.53,184970000,0.77,1.44,3.91%
UHS,Universal Health Services,11566051000,13.1,10.33,814850000,1.19,0,0.00%
ULTA,Ulta Beauty Inc,15795201000,55.6,5.08,705950000,1.73,0,0.00%
UNH,Unitedhealth Group Inc,3.27153E+11,19.15,18.25,13839000000,0.74,5,1.43%
UNM,Unumprovident Corp,4535553000,4.25,5.2,1100300000,1.78,1.14,5.16%
UNP,Union Pacific Corp,1.3848E+11,25.86,7.85,5919000000,1.11,3.88,1.91%
UPS,United Parcel Service,1.39618E+11,21.36,7.67,4440000000,0.98,4.04,2.47%
URI,United Rentals,16993314000,12.74,18.03,1174000000,2.25,0,0.00%
USB,U.S. Bancorp,69702888000,14.41,3.2,6914000000,1.09,1.68,3.64%
V,Visa Inc,4.1799E+11,43.29,5.03,10866000000,0.96,1.28,0.59%
VAR,Varian Medical Systems,16027322000,44.79,3.91,269200000,1.06,0,0.00%
VFC,V.F. Corp,33279042000,59.52,1.43,679450000,1.3,1.96,2.30%
VIAC,Viacomcbs Inc Cl B,22831930000,8.59,4.26,3308000000,1.79,0.96,2.62%
VLO,Valero Energy Corp,23374464000,928.83,0.06,2422000000,2.14,3.92,7.03%
VMC,Vulcan Materials Company,19554650000,31.11,4.71,617660000,0.6,1.36,0.93%
VNO,Vornado Realty Trust,6816542000,13.33,0.56,3147940000,1.48,2.12,5.78%
VNT,Vontier Corp [Vnt/I],5568495000,0,0.8,436500000,N/A,0,0.00%
VRSK,Verisk Analytics Inc,32838302000,41.32,4.91,449900000,0.78,1.08,0.53%
VRSN,Verisign Inc,23563716000,30.82,6.93,612300000,0.82,0,0.00%
VRTX,Vertex Pharmaceutic,59439484000,27.74,8.27,1176810000,0.78,0,0.00%
VTR,Ventas Inc,17769648000,13.71,0.9,433020000,1.26,1.8,3.84%
VTRS,Viatris Inc,9801983000,3.92,4.73,16800000,1.53,0,0.00%
VZ,Verizon Communications Inc,2.4241E+11,12.21,4.82,19265000000,0.41,2.51,4.27%
WAB,Wabtec Corp,14000380000,18.97,3.83,326700000,1.67,0.48,0.66%
WAT,Waters Corp,15848920000,29.05,8.61,592200000,0.87,0,0.00%
WBA,Walgreens Boots Alliance,35558204000,8.73,4.74,456000000,0.55,1.87,4.52%
WDC,Western Digital Cp,16143240000,21.49,2.43,-250000000,1.71,0,0.00%
WEC,Wisconsin Energy Corp,28417538000,23.78,3.8,1135200000,0.12,2.53,2.80%
WELL,Welltower Inc,25856218000,16.34,3.05,1232430000,1.03,2.44,3.96%
WFC,Wells Fargo & Company,1.26226E+11,35.36,0.84,19549000000,1.28,0.4,1.35%
WHR,Whirlpool Corp,11179025000,10.54,16.79,1184000000,1.86,5,2.83%
WLTW,Willis Towers WT,26038808000,17.92,11.37,1044000000,0.8,2.84,1.39%
WM,Waste Management,48688436000,28.08,4.09,1670000000,0.73,2.18,1.90%
WMB,Williams Companies,25133364000,19.71,1.02,850000000,1.6,1.6,7.96%
WMT,Wal-Mart Stores,4.12368E+11,26.84,5.46,14881000000,0.42,2.16,1.47%
WRB,W.R. Berkley Corp,11459896000,30.63,2.12,681940000,0.83,0.48,0.74%
WRK,Westrock Company,11447045000,15.49,2.74,-690900000,1.34,0.8,1.88%
WST,West Pharmaceutical Services,21514236000,67.51,4.23,241700000,1.01,0.68,0.24%
WU,Western Union Company,9085774000,12.09,1.8,1058300000,0.96,0.9,4.13%
WY,Weyerhaeuser Company,24721528000,39.06,0.84,-76000000,1.91,0.68,2.07%
WYNN,Wynn Resorts Ltd,11886306000,0,-17.34,122990000,2.38,0,0.00%
XEL,XCEL Energy Inc,34165276000,23.45,2.8,1372000000,0.22,1.72,2.62%
XLNX,Xilinx Inc,35344860000,48.61,2.93,792720000,0.96,1.52,1.07%
XOM,Exxon Mobil Corp,1.83928E+11,691.67,0.06,14340000000,1.37,3.48,8.39%
XRAY,Dentsply Sirona Inc,12083906000,32.58,1.65,262900000,0.85,0.4,0.74%
XRX,Xerox Corp,4533097000,10.35,2.17,1353000000,1.85,1,4.45%
XYL,Xylem Inc,17945700000,46.58,2.14,401000000,1.01,1.04,1.04%
YUM,Yum! Brands,31925524000,30.5,3.47,1294000000,1.07,1.88,1.78%
ZBH,Zimmer Biomet Holdings,32295982000,26.14,5.86,1131600000,1.33,0.96,0.63%
ZBRA,Zebra Technologies,20290472000,34.1,11.09,544000000,1.67,0,0.00%
ZION,Zions Bancorp,7152563000,16.97,2.53,816000000,1.66,1.36,3.17%
ZTS,Zoetis Inc Cl A,78290896000,42.38,3.86,1500000000,0.68,0.8,0.49%
